"","eHCC-1","eHCC-2","eHCC-3","eHCC-4","eHCC-5","eHCC-6","eHCC-7","eHCC-8","eHCC-9","eHCC-10","eHCC-11","eHCC-12","eHCC-13","eHCC-14"
"CPNE3",10.08263224,10.47225442,10.87312872,10.63620587,10.17911887,9.893459895,10.39632296,9.82422973,10.20843747,9.962768053,10.04387858,10.14869241,10.09974923,10.18481868
"CPPED1",5.128560487,4.791629655,5.079181798,5.17979577,4.967880963,4.597868301,4.833494665,5.106971088,5.014005766,4.707532152,4.763228433,4.933546103,5.019242166,4.709832722
"CPSF1",7.562729218,8.212475455,8.477859411,8.473513759,8.268220156,8.618038339,7.8086026,8.150215649,8.621745924,8.050523943,8.978979469,9.098358239,8.638383976,9.158894583
"CPSF3",8.634225737,8.52295248,8.492670318,8.656856352,8.629208437,8.79168644,8.885160061,9.124309474,8.225132522,8.428916371,8.378330784,8.577724038,8.824013704,8.600737207
"CREB3L2",10.14209183,9.586091321,9.25152193,9.019470205,9.651777255,9.811296878,10.05344095,9.310005887,9.253882568,9.423015875,9.676696569,9.692912657,9.128277956,9.7409538
"CREB3L4",4.803244176,4.839976334,5.292426454,4.961303731,5.298433538,4.881239679,5.067850854,5.121627466,4.722727543,4.672919851,4.666859373,4.803816413,4.735904026,5.016417299
"CRHBP",6.224015397,9.393219722,8.275312567,8.74602124,10.23858008,9.601356093,6.055394468,8.034629724,8.310926448,9.323733715,9.241931621,7.335444975,10.04090364,7.415214579
"CRTAP",7.359433875,8.510833024,7.664984529,7.577370051,6.999007246,6.657137462,8.703522714,8.048991743,8.276173503,8.341021208,7.182531356,8.144908512,7.609360151,7.951113539
"CS",10.34068522,10.11596909,10.15782223,10.25927583,10.38183281,10.0487109,9.894938283,10.2422025,10.23858008,10.74359336,10.43960962,10.60817269,9.830080423,10.55461064
"CSE1L",9.912114716,10.0093472,9.609063715,9.685247336,9.612336615,9.789411721,9.585445874,9.611670457,9.690360142,9.81003396,9.377975024,9.807769385,9.706058218,9.358576052
"CSNK1A1",7.812500176,8.107556044,7.945010802,7.977030289,8.146575536,7.096743191,7.964573689,7.869927658,8.026670207,8.467349862,8.263222956,7.813917316,8.394756449,8.008966801
"CSNK1A1L",5.257875221,4.817791507,4.717882317,4.779401,4.772099066,4.581301619,4.752229869,5.105692098,4.631646296,4.977854818,4.919364728,4.774704994,4.677820752,4.537095316
"CSNK1D",9.083727951,9.015930885,8.465042026,8.369961203,7.936351999,9.089380886,8.485670858,9.194047074,8.091539822,8.208423578,7.917504231,8.519520661,8.283139329,8.487007911
"CSNK1G1",7.020356178,6.518737823,6.46339773,6.578641624,6.498487675,6.381658313,6.632182745,6.231852245,6.851127128,6.499401751,6.967398321,6.696244743,6.147097846,6.503344444
"CSNK2A1",7.473993713,7.325876385,7.361460861,7.441531716,6.87959571,7.247285941,7.460867687,7.64163515,7.320531832,7.702911846,7.050387566,7.082097955,7.260741628,6.769813242
"CSPP1",7.210055986,8.184504933,7.897226148,7.508948343,7.533771184,7.360448462,7.815862884,7.120090341,8.093505188,6.94291473,7.392505627,8.339751482,7.571801374,7.387039242
"CSRNP1",10.42242831,11.70940783,11.25715471,11.28297373,10.38469437,12.38610608,9.349740255,11.20416843,9.698366057,10.20427565,10.66000064,10.53019132,10.88247902,10.79882655
"CTBS",9.39698075,8.795443478,9.281872194,8.886623735,9.035425499,9.616632873,9.217196083,9.157316843,8.674447884,8.482669867,8.974825415,8.535980985,9.805727211,8.672017833
"CTCF",7.599662952,8.164338861,7.801988527,7.677783327,7.883770965,7.879808428,7.865497662,7.604009888,7.394659839,7.84310738,7.767196142,7.411750291,7.475350703,7.573499636
"CTDSP2",9.390061345,10.08026139,10.41470192,10.10150818,10.2262993,9.576013053,9.569465301,9.78388192,10.51032271,10.47636175,10.53551565,10.10806281,9.426455488,10.21800808
"CTH",11.66848304,10.90954813,11.81872006,11.45290666,10.99880057,11.95102218,10.61923232,12.22670441,11.6706654,11.83528934,11.54562939,11.12956435,10.84785674,12.23119678
"CTNNA1",10.88627473,11.06304521,11.34674671,11.14728665,11.44431273,11.08788917,11.06304521,11.1757391,11.30728357,11.19241826,11.6454891,11.41623628,11.50282981,11.86544698
"CTNNB1",7.486665884,8.481843118,8.265245296,7.702171819,7.698075124,7.319810009,8.59896761,7.525761252,8.13846848,8.486534581,7.918191427,8.322001458,8.320755648,7.989072857
"CTNNBL1",8.571553782,9.055275759,8.756297641,8.98975672,9.286291552,8.544365939,9.084820071,8.416003487,8.404172056,9.17749263,8.391531843,8.72993687,9.38569762,8.25131998
"CTSA",10.62490192,10.07945735,10.26356698,10.18402596,10.28988199,10.43459892,9.599405191,10.57290248,9.577307683,9.9465261,10.41841548,10.25026158,9.808518859,10.02185131
"CUL4A",9.199537288,9.407124635,9.035922276,9.296242261,9.210448988,9.062963212,8.821102459,9.320832484,9.016909555,9.584105638,9.256690869,9.360607138,9.292916079,8.953916029
"CUL4B",6.50913422,6.63602948,6.872421383,6.723255191,6.833803636,7.210367547,6.517854437,6.998715856,7.107619106,6.719543949,6.896330792,7.045301878,6.880890316,6.844256302
