"","LDN-1","LDN-2","LDN-3","LDN-4","LDN-5","LDN-6","LDN-7","LDN-8","LDN-9","LDN-10","LDN-11"
"ASPA",5.825355693,6.155379564,5.651284464,7.168601803,6.099095742,5.820778577,6.667639647,6.01446175,6.233485145,5.978622245,4.941628824
"ASPH",6.213352474,6.356175771,5.165242254,6.317207087,5.723134399,6.103378916,5.361579197,6.354247476,5.780642803,5.643677984,5.983007618
"ASPM",6.176622961,6.461311712,5.534039272,5.050068896,5.39454032,4.66058217,5.090858668,5.240025201,4.788974846,5.619125296,5.461663762
"ASS1",14.15977157,13.75506424,14.08918886,14.32467713,14.24112587,14.02127598,14.5929164,13.26781522,14.05472014,13.53843449,14.5929164
"ASXL2",8.575955646,8.725791812,8.678714064,8.623484427,8.592060956,8.529033529,8.523372356,8.352074653,8.411573464,8.482235447,8.60514592
"ATAD2",6.621731233,6.644863492,6.385527245,6.524145692,6.993400342,6.30552343,6.470374882,7.281280145,6.954381264,6.9508521,7.047546218
"ATF2",6.165989981,6.463112556,5.322819008,6.302765601,5.932481055,6.657424477,5.766452589,6.404681127,6.073929568,6.275802371,6.682423724
"ATF5",12.90898364,12.49469362,12.64465502,12.95562115,12.59318885,12.88625052,12.8418727,12.67373701,12.45560136,12.96320433,12.45560136
"ATG12",10.403875,9.682748768,9.671976541,9.359073578,9.689096961,9.020090109,9.91752541,9.37859032,9.408289789,9.504335461,9.580504528
"ATIC",10.12063126,10.2846831,10.18565506,10.47727467,10.60615942,10.63965132,10.33135146,10.40098957,10.54402881,10.84422556,10.70521102
"ATOH8",6.642298733,7.483154755,7.08339441,7.639934602,7.622733223,6.617635885,7.544738481,8.253810144,7.716475081,8.756297641,6.2342497
"ATP6AP1",10.85168131,11.32922524,11.19084662,10.69317013,10.98228931,11.24978443,11.06182777,11.47569489,10.70871386,11.29440247,11.23024972
"ATP6V1C2",4.580364204,4.7110935,4.558480473,4.516285817,4.625409723,4.692245838,4.709252618,4.590459905,4.420019529,4.641709817,4.508048778
"ATP6V1F",10.65792519,10.87176583,10.9173013,10.2404776,10.51032271,10.28814477,10.57534597,10.13954841,10.14209183,10.7354771,10.64624966
"ATP6V1H",7.849595797,8.223859547,8.044219864,8.217709047,8.249056354,7.984532229,8.067343205,8.080305908,8.168509871,7.998310403,8.611927852
"AURKA",7.363129064,7.866131768,8.088015157,6.290313285,7.512838659,7.101177336,7.017454887,7.219969085,7.130573921,7.846603975,8.148172465
"AURKB",5.314214104,5.124227265,5.001424797,4.573798777,4.640782196,4.577780507,5.285628386,4.883555291,4.767520318,5.423988598,4.767816071
"AVL9",5.702343147,6.44661199,5.962869727,6.275802371,5.635068781,5.951162032,5.887101994,6.097533181,5.585864425,5.954925838,6.420868872
"AVPR1A",7.1389788,4.87871907,4.816978102,5.97597554,4.969819762,5.899420629,4.715085195,6.654343634,4.810847322,4.744285493,6.412661031
"AXIN1",7.738844691,7.443643728,7.265145564,7.297987002,7.425862523,7.666855125,7.488651579,7.378595709,7.209051022,7.564844714,7.541151405
"AXIN2",6.218281087,6.715526187,6.729869441,5.34179276,6.099390937,5.618662857,5.439768484,6.538476609,6.513376475,6.251532658,5.208385322
"AXL",8.391531843,9.108006227,9.349166055,9.162756828,9.07675439,9.327721992,9.677904279,8.9640486,9.594902293,9.330770173,7.381703788
"B3GALNT2",5.17004616,5.236697435,5.228548174,4.543398172,5.208252657,5.098540769,5.615592169,5.228405974,5.23346575,5.407725544,5.534619856
"B4GALT3",8.47961753,8.269415796,8.340614057,8.221478385,8.233735855,8.469466617,8.242847897,8.340159447,7.968152243,8.111305853,8.093505188
"BACE2",6.417123629,7.06355649,6.272345264,5.947414885,5.604739183,6.725413001,6.213609911,6.834459535,6.110137255,5.840392383,8.380411001
"BAD",7.876911589,8.429241681,7.739288955,7.943843525,8.003244371,7.785898041,7.742091649,7.700053682,8.306606429,7.806542492,7.989876543
"BAK1",5.767129994,5.498175565,5.683704434,4.910589117,5.346396278,5.338978114,5.569718555,5.399462358,4.960312073,5.370616593,5.531143648
"BANF1",10.11675023,10.3287853,10.29711945,10.19748869,10.30851592,10.06221896,10.397322,10.21361525,10.44471256,10.52185796,10.30233788
