DUSP6,EGR1
DUSP6,MYC
DUT,TK1
DVL1,APC
DVL1,BRD7
DVL1,CTNNB1
DVL1,EBF1
DVL1,EGR1
DVL1,FRAT1
DVL1,FRAT2
DVL1,MYC
DVL1,NKD2
DVL1,SMAD2
DVL1,SMAD3
DVL2,APC
DVL2,FOS
DVL2,FOSB
DVL2,FRAT1
DVL2,MYC
DVL2,NKD2
DVL2,RNPS1
DVL3,FRAT1
DVL3,KAT7
DVL3,NKD2
DYNC1H1,SMAD2
DYNC1H1,TUBA1B
DYNC1I2,FOS
DYNC1I2,TUBA1B
DYNLL1,DNMT1
DYNLL1,EGR1
DYNLL1,EGR3
DYNLL1,NFYA
DYNLL1,NRF1
DYNLL1,TUBA1B
DYNLL1,ZHX1
DYNLL1,ZMYND11
E2F1,AADAT
E2F1,ACACA
E2F1,ACOT4
E2F1,ACSL1
E2F1,ADAMTS1
E2F1,ANKH
E2F1,ANKRD27
E2F1,ANP32E
E2F1,APIP
E2F1,ARHGAP19
E2F1,ARL6IP6
E2F1,ARSJ
E2F1,ASXL2
E2F1,ATF5
E2F1,AURKA
E2F1,AURKB
E2F1,BAP1
E2F1,BIRC5
E2F1,BMPR1A
E2F1,BMPR1B
E2F1,BRCA1
E2F1,BRD7
E2F1,C17orf58
E2F1,CA2
E2F1,CALM1
E2F1,CAPRIN1
E2F1,CASK
E2F1,CBX3
E2F1,CCDC93
E2F1,CCNE1
E2F1,CCNE2
E2F1,CDCA3
E2F1,CDCA5
E2F1,CDCA7
E2F1,CDT1
E2F1,CENPH
E2F1,CENPJ
E2F1,CETP
E2F1,CHKA
E2F1,CHRAC1
E2F1,CHRDL1
E2F1,CLK2
E2F1,CLTA
E2F1,CPSF3
E2F1,CRTAP
E2F1,CSE1L
E2F1,CTBS
E2F1,CTNNB1
E2F1,CYP2R1
E2F1,DDB2
E2F1,DEK
E2F1,DENND5A
E2F1,DENR
E2F1,DHX30
E2F1,DIRAS3
E2F1,DISP1
E2F1,DNMT1
E2F1,DOCK5
E2F1,DPCD
E2F1,ECT2
E2F1,EFCAB7
E2F1,EIF4A3
E2F1,ESR1
E2F1,ETV4
E2F1,FABP5
E2F1,FAM83B
E2F1,FBLN1
E2F1,FBXO5
E2F1,FOXP1
