"","gene1","gene2","weight"
"538","CYP2B6","ATF5","0.459792895091435"
"539","CYP2B6","EGR1","0.134077138892555"
"540","CYP2C19","ESR1","0.387622790268049"
"541","CYP2C8","CYP26A1","0.485753184696802"
"542","CYP2C9","CYP26A1","0.365334458354788"
"543","CYP2C9","NCOA6","-0.772894614999651"
"544","CYP8B1","AKR1D1","0.920191496711418"
"545","CYP8B1","TP53","-0.455700491723574"
"546","DACH1","UBE2I","-0.403860482990983"
"547","DCN","NR1H4","-0.155180106547555"
"548","DCTN2","EGR3","0.115791236677501"
"549","DCTN2","TUBA1B","0.432735570109906"
"551","DDB2","CUL4A","-0.0993830847414722"
"552","DDB2","CUL4B","-0.495190342866654"
"553","DDX20","DHX9","-0.31406029627976"
"554","DDX20","GEMIN5","-0.514607756311208"
"555","DDX20","SNRPD2","0.193778717657187"
"556","DDX20","SNRPE","-0.52471885945544"
"557","DDX20","SNRPF","-0.0607065930195692"
"558","DEK","DEK","1"
"559","DGKQ","PLCD3","-0.191873288629175"
"560","DGKZ","EGR1","-0.0246560260945872"
"561","DGKZ","EGR3","-0.242742340220535"
"562","DGKZ","PLCD3","-0.0846349571035521"
"563","NFE2L2","BRCA1","0.201169010892944"
"564","NFE2L2","CFTR","-0.173879303994852"
"565","NFE2L2","COPS7A","-0.184516441390891"
"566","NFE2L2","EGR1","-0.515601994376399"
"567","NFE2L2","EIF2AK1","0.437134770922265"
"568","NFE2L2","HBB","-0.0145452700113803"
"569","NFE2L2","HMOX1","-0.0684090034755498"
"570","NFE2L2","NQO1","-0.135611841888579"
"571","NFE2L2","PMF1","0.0426778611460061"
"572","NFE2L2","ZIC2","-0.0459919695619055"
"574","DNMT1","DNMT1","1"
"575","DNMT3A","CBX1","0.481891584735206"
"576","DNMT3A","EZH2","-0.0488740117289575"
"577","DNMT3A","POU2F1","0.0189600390615052"
"578","DNMT3A","PIAS1","0.382861364968877"
"579","DNMT3A","SETDB1","0.0767783702533928"
"580","DPF1","EGR1","0.200793719387851"
"581","DR1","NR2C2","0.113604837278659"
"582","DR1","POLE3","0.458109727076557"
"583","DR1","PTGS2","-0.57576871744721"
"584","DTX1","DTX1","1"
"585","DUSP1","ATF2","-0.0661255778769702"
"586","DUSP1","ATF5","0.297969092503193"
"587","DUSP1","NFE2L2","0.279505196566267"
"588","DUSP1","MYC","-0.19406478282232"
"589","DUSP6","EGR1","-0.415836257526943"
"590","DUSP6","MYC","-0.0612753784942914"
"591","DUT","TK1","-0.0771459702105238"
"592","DVL1","BRD7","0.190710413219664"
"593","DVL1","FRAT1","0.159327123947157"
"594","DVL1","FRAT2","-0.32442071924368"
"595","DVL1","NKD2","-0.136515795995459"
"596","DVL2","APC","0.341348352479812"
"597","DVL2","FOS","-0.0322579846585318"
"598","DVL2","FOSB","-0.377611691986083"
"599","DVL2","FRAT1","-0.396313468197802"
"600","DVL2","RNPS1","-0.110927551222063"
"601","DVL2","MYC","-0.36835616313522"
"602","DVL2","NKD2","0.534405096557108"
"603","DVL3","APC","0.0490087059698708"
"604","DVL3","FRAT1","-0.374866384101998"
"605","DVL3","KAT7","-0.426698435841371"
"606","DVL3","NKD2","0.367623302890245"
"607","DYNC1H1","SMAD2","-0.64028383567806"
"608","DYNC1H1","TUBA1B","0.28626312456128"
"609","DYNC1I2","FOS","0.487458174379786"
"610","DYNC1I2","TUBA1B","-0.0459015790292593"
