"","from","to"
"593","E2F4","KHDRBS1"
"594","MYC","KHDRBS1"
"595","SMAD2","KHDRBS1"
"596","KHDRBS1","KHDRBS1"
"597","MAML1","MAML1"
"598","HRAS","MAZ"
"599","CSNK2A1","MAZ"
"600","EGR2","MAZ"
"601","EGR3","MAZ"
"602","CDC6","MCM2"
"603","CDK6","MCM2"
"604","MCM2","MCM2"
"605","NCOA6","NCOA6"
"606","NFYA","NFYA"
"607","ALDH6A1","NFYC"
"608","CAT","NFYC"
"609","GCH1","NFYC"
"610","PIK3R1","NFYC"
"611","UBE2T","NFYC"
"612","GSK3B","NFYC"
"613","CDC23","NFYC"
"614","CDC20","NFYC"
"615","WNT16","NFYC"
"616","ACTB","NFYC"
"617","WASF2","NFYC"
"618","CKS1B","NFYC"
"619","ACTL6B","NFYC"
"620","GRB2","NPM1"
"621","SHC1","NPM1"
"622","CDKN1A","NPM1"
"623","CCND1","NPM1"
"624","GADD45A","NPM1"
"625","PLCG2","NPM1"
"626","CDK1","NPM1"
"627","PLK1","NPM1"
"628","MYC","NPM1"
"629","ARF1","NPM1"
"630","ATF5","NPM1"
"631","DCN","NR1H4"
"632","SMARCD3","NR1H4"
"633","CYP2C8","NR1I2"
"634","CYP2C9","NR1I2"
"635","BCL2L1","NR1I2"
"636","NR1I2","NR1I2"
"637","KRAS","NR3C2"
"638","EGFR","NR3C2"
"639","HSP90AA1","NR3C2"
"640","ACTG1","NR3C2"
"641","ESR1","NR3C2"
"642","ETV4","NR3C2"
"643","SDHB","NRF1"
"644","DYNLL1","NRF1"
"645","IGF2","PLAG1"
"646","SRM","POU2F1"
"647","CYP26A1","POU2F1"
"648","UPF3B","POU2F1"
"649","PPP2R1A","POU2F1"
"650","MAP4K4","POU2F1"
"651","CDC6","POU2F1"
"652","HDAC1","POU2F1"
"653","FZD10","POU2F1"
"654","FZD3","POU2F1"
"655","TLR4","POU2F1"
"656","MYC","POU2F1"
"657","LEF1","POU2F1"
"658","SMAD2","POU2F1"
"659","WASF2","POU2F1"
"660","C8A","POU2F1"
"661","MYO1B","POU2F1"
"662","ETS2","POU2F1"
"663","MECOM","POU2F1"
"664","ARID1A","POU2F1"
"665","BRCA1","POU2F1"
"666","DNMT3A","POU2F1"
"667","POU2F1","POU2F1"
"668","CDKN1A","PTMA"
"669","RAN","PTMA"
"670","CDK1","PTMA"
"671","PCNA","PTMA"
"672","CCNB1","PTMA"
"673","CCNA2","PTMA"
"674","E2F4","PTMA"
"675","E2F5","PTMA"
"676","E2F2","PTMA"
"677","HDAC1","PTMA"
"678","HDAC2","PTMA"
"679","MYC","PTMA"
"680","ESR1","PTMA"
"681","RAC1","PTTG1"
"682","CDK1","PTTG1"
"683","ANAPC5","PTTG1"
"684","ANAPC7","PTTG1"
"685","ANAPC11","PTTG1"
"686","CDC23","PTTG1"
"687","CDC20","PTTG1"
"688","MYC","PTTG1"
"689","EGR3","PURA"
"690","HDAC2","RFX5"
"691","MYC","RFX5"
"692","UPF3B","SATB2"
"693","FOSB","TAF4"
"694","CDKN1A","TAF5"
"695","EGR3","TAF5"
"696","ALDOB","TCF3"
"697","SHC3","TCF3"
"698","BAD","TCF3"
"699","MAPK3","TCF3"
"700","FZD6","TCF3"
"701","MYC","TCF3"
"702","LEF1","TCF3"
"703","C7","TCF3"
"704","RBBP5","TCF3"
"705","MECOM","TCF3"
"706","DNMT3A","TCF3"
"707","FOSB","TCF3"
"708","TCF3","TCF3"
"709","TRIM28","TRIM28"
"710","EGFR","TSG101"
"711","CDKN1A","TSG101"
"712","HGS","TSG101"
"713","AATF","TSG101"
"714","MAZ","TSG101"
"715","TSG101","TTF2"
"716","E2F5","UHRF1"
"717","E2F2","UHRF1"
"718","YBX1","YBX1"
"719","MYD88","ZIC2"
"720","WNT7B","ZIC2"
"721","PRKAG1","ZIC2"
"722","NFE2L2","ZIC2"
"723","SMARCD3","ZIC2"
"724","TALDO1","ZNF143"
"725","PCYT1A","ZNF143"
"726","RRAGC","BHLHE40"
"727","MYC","BHLHE40"
"728","FOSB","BHLHE40"
"729","HSF2","BHLHE40"
"730","BHLHE40","BHLHE40"
"731","AIRE","AIRE"
"732","MYC","ALYREF"
"733","LEF1","ALYREF"
"734","ALYREF","ALYREF"
"735","EGR2","ARID4B"
"736","EGR3","ARID4B"
"737","FOSB","BRD8"
"738","E2F5","CBX3"
"739","E2F2","CBX3"
"740","CBX3","CBX3"
"741","ELK1","CITED2"
"742","POU2F1","CITED2"
"743","CNOT6","CNOT6"
"744","COIL","COIL"
"745","HDAC2","DDX20"
"746","EGR2","DDX20"
"747","E2F5","DEK"
"748","E2F2","DEK"
"749","DEK","DEK"
"750","ELK1","DNAJC2"
"751","E2F2","DTX1"
"752","DTX1","DTX1"
"753","MYC","EP400"
"754","ELK1","ERCC3"
"755","CDK7","ERCC3"
"756","EGR3","EZH1"
"757","TCF3","EZH1"
"758","FOXP1","FOXP1"
"759","E2F5","FUS"
"760","E2F2","FUS"
"761","MYC","FUS"
"762","FUS","FUS"
"763","FXR1","FXR1"
"764","MYC","HAX1"
"765","HNRNPK","HNRNPK"
"766","HTATSF1","HTATSF1"
"767","ATF5","JDP2"
"768","ELK1","KAT7"
"769","ORC1","KAT7"
"770","DVL3","KAT7"
"771","ATF5","KAT7"
"772","BARD1","KAT7"
"773","FOSB","KAT7"
"774","MCM2","KAT7"
"775","HSF2","KNTC1"
"776","PPP2R1A","MCM3"
"777","E2F5","MCM4"
"778","MCM4","MCM4"
"779","MCM6","MCM6"
"780","CDC6","MCM7"
"781","CDK7","MCM7"
"782","E2F4","MCM7"
"783","E2F5","MCM7"
"784","MYC","MCM7"
"785","MCM2","MCM7"
"786","MCM7","MCM7"
"787","MED12","MED12"
"788","MYC","MLLT6"
"789","EGR3","MLLT6"
"790","NONO","NONO"
"791","ELK4","NR2C2"
"792","HSP90AB1","NR2C2"
"793","DR1","NR2C2"
"794","EGR3","NR2C2"
"795","HSF2","NR2C2"
"796","SMAD2","PAPOLA"
"797","PBRM1","PBRM1"
"798","PTK2","PIAS1"
"799","MYC","PIAS1"
"800","AXIN1","PIAS1"
"801","DNMT3A","PIAS1"
"802","NR3C2","PIAS1"
"803","SATB2","PIAS1"
"804","PIAS1","PIAS1"
"805","POLR2G","POLR2G"
"806","POLR2H","POLR2H"
"807","BRCA2","RAD51"
"808","FANCD2","RAD51"
"809","E2F5","RAD51"
"810","MYC","RAD51"
"811","RAD51","RAD51"
"812","RAD54B","RAD54B"
"813","EGR2","RBBP7"
"814","EGR3","RBBP7"
"815","FOSB","RBBP7"
"816","PCNA","RFC1"
"817","BRCA1","RFC1"
"818","RFC1","RFC1"
"819","ELK1","RNPS1"
"820","YWHAB","RNPS1"
"821","YWHAG","RNPS1"
"822","DVL2","RNPS1"
"823","HDAC1","RUVBL2"
"824","RUVBL1","RUVBL2"
"825","TERT","RUVBL2"
"826","MYC","SNRPB"
"827","SNRPB","SNRPB"
"828","SNRPB","SNRPD1"
"829","HDAC2","SNW1"
"830","JDP2","SNW1"
"831","SSB","SSB"
"832","CSNK2A1","SSRP1"
"833","ZIC2","SSRP1"
"834","MCM3","SUPT16H"
"835","TAF1A","TAF1A"
"836","TAF6","TAF6"
"837","HDAC6","TARDBP"
"838","FOSB","TCEA2"
"839","NPM1","TCERG1"
"840","MYC","TIMELESS"
"841","MYC","TRIM24"
"842","NR3C2","TRIM24"
"843","TRIM24","TRIM24"
"844","TRIM32","TRIM32"
"845","MYC","TRIP13"
"846","TRIP13","TRIP13"
"847","MAPK3","UBTF"
"848","CCNA2","UBTF"
"849","CSNK2A1","UBTF"
"850","UBTF","UBTF"
"851","URI1","URI1"
"852","PIK3R1","WBP11"
"853","PPP1CC","WBP11"
"854","ARF1","WBP11"
"855","PQBP1","WBP11"
"856","EGFR","XRCC6"
"857","YWHAZ","XRCC6"
"858","PRKDC","XRCC6"
"859","TERT","XRCC6"
"860","PTTG1","XRCC6"
"861","ZBTB33","ZBTB33"
"862","TALDO1","ZHX1"
"863","PNP","ZHX1"
"864","CSNK2A1","ZHX1"
"865","DYNLL1","ZHX1"
"866","TARDBP","ZHX1"
"867","ZHX1","ZHX1"
"868","DYNLL1","ZMYND11"
"869","SMARCA4","ZMYND11"
"870","EZH2","ZMYND11"
"871","EZH1","ZMYND11"
