"","aHCC-1","aHCC-2","aHCC-3","aHCC-4","aHCC-5","aHCC-6","aHCC-7","aHCC-8","aHCC-9","aHCC-10","aHCC-11","aHCC-12"
"APOC3",15.0607914,15.14108917,14.75528207,12.83143157,14.94379634,15.12138914,15.0607914,15.09185498,15.30532618,8.172500634,15.17334396,14.60709083
"APOF",10.66107672,7.772905216,11.64914198,8.378330784,11.54186229,8.624001162,7.708204743,11.81509645,11.53624726,5.163283876,10.63182321,6.125046078
"APOH",13.17576502,12.62545475,12.41632877,11.5379697,11.60535626,11.95974423,11.72981236,12.61286348,12.76952864,7.877292406,12.99101962,12.37042036
"AQP1",6.489121442,5.023386088,5.79558979,4.887661005,8.626101873,5.803192251,6.127317066,5.801396973,6.028628645,6.168686193,5.042006066,6.107898521
"AQP3",4.694324045,4.798031729,4.582593778,4.79705972,4.603272653,4.54319976,4.511642354,4.479617252,4.47666283,4.747272276,4.62659795,4.609386724
"ARF1",12.03507253,11.80349505,11.47569489,11.62246764,11.48483417,11.51377697,11.54902495,11.09748121,11.44241344,11.81139984,11.9550442,11.49233104
"ARHGAP10",6.9024034,5.793168441,7.398764904,6.087499769,7.276112701,5.245763347,6.008063093,7.37416925,7.334719918,6.569261611,7.97981732,5.744014745
"ARHGAP11A",5.476643322,5.587551398,5.920295782,5.84733846,5.409553745,5.709970747,5.255300301,5.344334379,4.936462643,5.077810342,5.402494912,4.827324812
"ARHGAP19",6.960751333,7.314489362,7.537203534,7.826304693,7.16371856,7.721019952,7.447173588,6.670588497,6.926348795,7.739642147,7.908972658,8.095530137
"ARHGEF11",6.559276477,6.928278833,6.393182385,6.426364832,5.982256683,5.764103944,6.356688966,5.878207863,6.236625221,6.458950076,6.419677788,6.272345264
"ARHGEF26",4.693636131,4.79001721,4.584630063,4.577453922,4.688745884,4.633367024,4.698252269,5.038315848,5.655043504,4.635635754,4.956741341,4.751361688
"ARID1A",8.766371493,8.997411082,9.140495789,9.879380033,9.249738799,9.154169706,9.842932921,9.000825905,9.75990103,10.23474991,10.01886695,9.305467868
"ARID1B",6.962624005,8.328589957,7.703590158,7.257435088,7.471137525,7.175819531,7.247654551,7.36420052,7.596460691,8.955010197,7.360448462,8.206884051
