"","HDN-1","HDN-2","HDN-3","HDN-4","HDN-5","HDN-6","HDN-7","HDN-8","HDN-9","HDN-10","HDN-11"
"AMZ2",9.483995871,10.40769863,9.834290853,10.52912344,9.959418312,9.548733425,9.613587186,9.75990103,9.514382468,9.489828872,9.299067708
"ANAPC11",9.37525615,9.950398724,9.594338378,10.32032903,9.874370193,9.7409538,9.326535049,9.720151337,9.700271839,8.859362083,9.739517254
"ANAPC5",10.17473458,10.44966816,10.34898565,11.19241826,10.2828424,10.57965443,10.4639841,10.35721809,10.1470745,10.63182321,10.5072399
"ANAPC7",5.532690787,5.014889766,5.30287333,5.349063987,5.370103651,5.379194036,5.174164586,5.418390678,5.278620216,4.833060245,5.110493307
"ANGEL2",8.301154973,8.663244918,8.130451618,9.368217678,8.840324354,8.556806808,8.581805653,8.455007541,7.959983728,8.718908612,8.435473398
"ANGPTL1",5.010290666,4.751741636,4.733368982,4.6368727,5.117250507,4.796070331,4.503213828,4.728494095,4.659458831,4.67981445,4.681853423
"ANGPTL6",8.312556531,5.895970188,8.25131998,6.384014041,8.296869831,8.506747847,8.286685149,8.53856692,6.302180216,6.801269967,8.30212591
"ANK3",6.165676687,5.201193614,6.201166559,4.997370368,5.57609198,5.591522441,5.49376513,5.553971052,5.793873295,5.236142048,5.364714719
"ANKH",4.45139923,4.722326955,5.125976828,4.754201206,4.710454748,5.506636115,5.097935011,4.758698449,4.621475763,4.544692825,4.780233109
"ANKRD27",5.044113989,5.644365086,5.165497913,4.74688973,4.71724264,4.772311855,4.663754182,4.504954913,4.621609216,5.08641694,4.94529121
"ANKZF1",6.535161401,7.791812134,6.796962043,7.006414566,7.389069666,7.134971335,7.391731682,6.939069289,7.039994121,7.91489241,7.275410757
"ANLN",4.626444225,5.011653047,4.68915053,6.20228271,4.771600127,4.425649262,4.561185713,5.204920628,4.889451818,4.771788739,5.059512383
"ANP32B",11.53977989,11.09409337,11.01487006,11.90212914,11.46897802,11.5379697,11.41623628,11.3433554,11.01487006,10.90676835,11.35709684
"ANP32E",4.436997041,4.568002383,4.872894786,4.670689233,4.697990557,5.132955354,4.7982838,4.581590299,4.568198423,4.475747846,4.490860758
"ANTXR2",9.391942218,8.352895427,9.296775915,8.664167485,9.113962906,9.219566779,9.451219733,8.745509896,8.432519628,8.139689278,8.781703814
"ANXA10",9.954623607,10.39525793,10.41931077,8.120710801,11.50088269,11.14133868,10.04707071,10.91971485,10.6894597,10.93297983,10.73298877
"ANXA3",4.338274297,4.355334204,4.543616719,4.646437262,4.500395524,4.699238453,4.490435991,4.449048728,4.782031279,4.773997988,4.472751536
"ANXA4",6.88310454,7.032774042,7.456988986,6.507635608,5.780867485,6.267737711,5.460717601,5.934731518,7.436040561,6.173743982,5.695627339
"AOC1",4.621224708,4.511563569,4.62688611,4.708525188,4.559359638,4.681227702,4.584430528,4.722762947,4.603078862,4.708849338,4.496093486
"AP1S1",8.299928763,8.973725237,8.495854176,8.076268272,8.146575536,8.362224501,8.198283954,8.790267667,8.366437466,7.639618104,8.2173704
"AP3B1",9.582921698,9.768715609,9.291285751,10.11042737,9.564801289,9.141677008,9.587389008,9.649814903,10.00125782,9.503115305,9.564801289
"AP3S1",8.635609679,8.731938407,8.538939386,8.848686266,8.135251869,9.044575204,8.516053568,8.890614981,9.000825905,7.935188898,8.431684995
"AP5M1",7.80162548,8.071503021,8.1356437,7.360078402,7.751553019,7.883418918,7.614886657,7.808230864,7.629009815,7.688052769,7.685861401
"APBB3",10.36157856,10.72713348,9.700271839,11.31563832,11.0512454,10.32419553,11.28963585,10.72358362,9.881011473,11.54388908,10.70414504
"APC",4.472443307,4.497253966,4.971397565,4.530254223,4.641933266,4.666785395,4.462484616,4.434706081,4.571503437,4.438811321,4.645625819
"APC2",4.603405571,4.610681973,4.554566963,4.492421446,4.597718693,4.512552051,4.609066614,4.650741765,4.581462904,4.839124303,4.65025581
"APH1A",9.783204241,9.78388192,9.645803413,9.875726857,9.990801498,9.502562887,10.13695436,9.869263508,9.779922575,10.02272499,9.993032968
"APIP",8.162291194,8.486159418,7.761335442,7.812500176,7.736182037,7.690998779,8.160026604,8.207627415,8.768753114,7.715309323,8.411184351
"APOA1",14.87305649,14.5929164,14.66853289,14.39368931,14.41687396,14.55595102,14.61736932,14.71824933,14.49635619,14.56789889,14.61736932
"APOA5",11.03040074,9.900359265,11.67499368,10.96882818,11.79308178,12.44995072,11.09468961,13.28216046,11.66103077,10.02831153,10.48323871
"APOBEC3B",4.507220377,5.354211355,4.84161876,6.198993287,4.443881912,4.36206993,4.836905666,4.692364292,4.668934215,4.568038535,4.80306307
"APOC3",15.23776273,15.23776273,15.01797082,15.15586653,15.21164625,15.10558798,15.01797082,15.36550033,15.09185498,14.69145717,15.21164625
"APOF",12.45282943,12.18750595,11.2844856,10.22965838,12.69741312,12.99101962,12.59637904,12.08994519,11.73987464,12.80054949,12.18021836
"APOH",13.39444557,13.25882784,13.69099711,13.43111535,13.21338832,13.24108346,12.72121247,12.75233178,12.27942591,12.66665689,13.07163284
