"","from","to"
"625","E2F2","WNT9A"
"626","E2F3","WNT9A"
"627","TP53","FZD10"
"628","E2F1","FZD10"
"629","WNT16","FZD10"
"630","WNT4","FZD10"
"631","WNT1","FZD10"
"632","WNT2","FZD10"
"633","WNT3","FZD10"
"634","WNT5A","FZD10"
"635","WNT6","FZD10"
"636","WNT7A","FZD10"
"637","WNT7B","FZD10"
"638","WNT8A","FZD10"
"639","WNT8B","FZD10"
"640","WNT10B","FZD10"
"641","WNT11","FZD10"
"642","WNT2B","FZD10"
"643","WNT9A","FZD10"
"644","WNT9B","FZD10"
"645","WNT10A","FZD10"
"646","WNT5B","FZD10"
"647","WNT3A","FZD10"
"648","PIK3CA","FZD3"
"649","WNT4","FZD3"
"650","WNT5A","FZD3"
"651","WNT5B","FZD3"
"652","E2F1","FZD1"
"653","ELK1","FZD4"
"654","E2F4","FZD9"
"655","E2F5","FZD9"
"656","E2F1","FZD9"
"657","E2F2","FZD9"
"658","E2F3","FZD9"
"659","WNT16","LRP6"
"660","WNT4","LRP6"
"661","WNT1","LRP6"
"662","WNT2","LRP6"
"663","WNT3","LRP6"
"664","WNT5A","LRP6"
"665","WNT6","LRP6"
"666","WNT7A","LRP6"
"667","WNT7B","LRP6"
"668","WNT8A","LRP6"
"669","WNT8B","LRP6"
"670","WNT10B","LRP6"
"671","WNT11","LRP6"
"672","WNT2B","LRP6"
"673","WNT9A","LRP6"
"674","WNT9B","LRP6"
"675","WNT10A","LRP6"
"676","WNT5B","LRP6"
"677","WNT3A","LRP6"
"678","FZD10","LRP6"
"679","FZD2","LRP6"
"680","FZD5","LRP6"
"681","FZD3","LRP6"
"682","FZD1","LRP6"
"683","FZD4","LRP6"
"684","FZD6","LRP6"
"685","FZD7","LRP6"
"686","FZD8","LRP6"
"687","FZD9","LRP6"
"688","FZD10","LRP5"
"689","RAC1","DVL1"
"690","SMAD4","DVL1"
"691","GSK3B","DVL1"
"692","FZD10","DVL1"
"693","FZD2","DVL1"
"694","FZD5","DVL1"
"695","FZD3","DVL1"
"696","FZD1","DVL1"
"697","FZD4","DVL1"
"698","FZD6","DVL1"
"699","FZD7","DVL1"
"700","FZD8","DVL1"
"701","FZD9","DVL1"
"702","LRP6","DVL1"
"703","LRP5","DVL1"
"704","TP53","DVL2"
"705","RAC1","DVL2"
"706","GSK3B","DVL2"
"707","RAC1","DVL3"
"708","GSK3B","DVL3"
"709","MTOR","RPS6KB1"
"710","AKT3","RPS6KB1"
"711","AKT1","RPS6KB1"
"712","AKT2","RPS6KB1"
"713","PDPK1","RPS6KB1"
"714","MAPK1","RPS6KB1"
"715","MAPK3","RPS6KB1"
"716","PPP2CB","RPS6KB1"
"717","PPP2R1A","RPS6KB1"
"718","E2F1","RPS6KB1"
"719","E2F2","RPS6KB1"
"720","AKT3","HSP90AA1"
"721","TP53","HSP90AA1"
"722","AKT3","HSP90AB1"
"723","TP53","HSP90AB1"
"724","PRKCA","PTK2"
"725","PRKCB","PTK2"
"726","PRKCG","PTK2"
"727","AKT3","PTK2"
"728","EGFR","PTK2"
"729","PIK3CA","PTK2"
"730","PIK3CB","PTK2"
"731","PIK3CD","PTK2"
"732","PIK3R1","PTK2"
"733","PIK3R2","PTK2"
"734","PIK3R3","PTK2"
"735","TP53","PTK2"
"736","IGF1R","PTK2"
"737","MET","PTK2"
"738","PDGFRA","PTK2"
"739","RAC1","TLR4"
"740","MYD88","TLR4"
"741","CD14","TLR4"
"742","MTOR","PRKAG2"
"743","MTOR","PRKAB1"
"744","TP53","PRKAB1"
"745","MTOR","PRKAB2"
"746","MTOR","PRKAG1"
