"","ENSEMBL","SYMBOL","ENTREZID"
"369","ENSG00000016391","CHDH","55349"
"370","ENSG00000016402","IL20RA","53832"
"371","ENSG00000016490","CLCA1","1179"
"372","ENSG00000016602","CLCA4","22802"
"373","ENSG00000016864","GLT8D1","55830"
"374","ENSG00000017260","ATP2C1","27032"
"375","ENSG00000017427","IGF1","3479"
"376","ENSG00000017483","SLC38A5","92745"
"377","ENSG00000017797","RALBP1","10928"
"378","ENSG00000018189","RUFY3","22902"
"379","ENSG00000018236","CNTN1","1272"
"380","ENSG00000018280","SLC11A1","6556"
"381","ENSG00000018408","WWTR1","25937"
"382","ENSG00000018510","AGPS","8540"
"384","ENSG00000018610","STEEP1","63932"
"385","ENSG00000018625","ATP1A2","477"
"386","ENSG00000018699","TTC27","55622"
"387","ENSG00000018869","ZNF582","147948"
"388","ENSG00000019102","VSIG2","23584"
"389","ENSG00000019144","PHLDB1","23187"
"390","ENSG00000019169","MARCO","8685"
"391","ENSG00000019186","CYP24A1","1591"
"392","ENSG00000019485","PRDM11","56981"
"393","ENSG00000019505","SYT13","57586"
"394","ENSG00000019549","SNAI2","6591"
"395","ENSG00000019582","CD74","972"
"396","ENSG00000019991","HGF","3082"
"397","ENSG00000019995","ZRANB1","54764"
"398","ENSG00000020129","NCDN","23154"
"399","ENSG00000020181","ADGRA2","25960"
"400","ENSG00000020219","CCT8L1P","155100"
"401","ENSG00000020256","ZFP64","55734"
"402","ENSG00000020426","MNAT1","4331"
"403","ENSG00000020577","SAMD4A","23034"
"404","ENSG00000020633","RUNX3","864"
"405","ENSG00000020922","MRE11","4361"
"406","ENSG00000021300","PLEKHB1","58473"
"407","ENSG00000021355","SERPINB1","1992"
"408","ENSG00000021461","CYP3A43","64816"
"409","ENSG00000021488","SLC7A9","11136"
"410","ENSG00000021574","SPAST","6683"
"411","ENSG00000021645","NRXN3","9369"
"412","ENSG00000021762","OSBPL5","114879"
"413","ENSG00000021776","AQR","9716"
"414","ENSG00000021826","CPS1","1373"
"415","ENSG00000021852","C8B","732"
"416","ENSG00000022267","FHL1","2273"
"417","ENSG00000022277","RTF2","51507"
"418","ENSG00000022355","GABRA1","2554"
"419","ENSG00000022556","NLRP2","55655"
"420","ENSG00000022567","SLC45A4","57210"
"421","ENSG00000022840","RNF10","9921"
"422","ENSG00000022976","ZNF839","55778"
"423","ENSG00000023041","ZDHHC6","64429"
"424","ENSG00000023171","GRAMD1B","57476"
"425","ENSG00000023191","RNH1","6050"
"426","ENSG00000023228","NDUFS1","4719"
"427","ENSG00000023287","RB1CC1","9821"
"428","ENSG00000023318","ERP44","23071"
"429","ENSG00000023330","ALAS1","211"
"430","ENSG00000023445","BIRC3","330"
"431","ENSG00000023516","AKAP11","11215"
"432","ENSG00000023572","GLRX2","51022"
"433","ENSG00000023608","SNAPC1","6617"
"434","ENSG00000023697","DERA","51071"
"435","ENSG00000023734","STRAP","11171"
"436","ENSG00000023839","ABCC2","1244"
"437","ENSG00000023892","DEF6","50619"
"438","ENSG00000023902","PLEKHO1","51177"
"439","ENSG00000023909","GCLM","2730"
"440","ENSG00000024048","UBR2","23304"
"441","ENSG00000024422","EHD2","30846"
"442","ENSG00000024526","DEPDC1","55635"
"443","ENSG00000024862","CCDC28A","25901"
"444","ENSG00000025039","RRAGD","58528"
"445","ENSG00000025156","HSF2","3298"
"446","ENSG00000025293","PHF20","51230"
"447","ENSG00000025423","HSD17B6","8630"
"448","ENSG00000025434","NR1H3","10062"
"449","ENSG00000025708","TYMP","1890"
"450","ENSG00000025770","NCAPH2","29781"
"451","ENSG00000025772","TOMM34","10953"
"452","ENSG00000025796","SEC63","11231"
"453","ENSG00000025800","KPNA6","23633"
"454","ENSG00000026025","VIM","7431"
"455","ENSG00000026036","RTEL1-TNFRSF6B","100533107"
"456","ENSG00000026103","FAS","355"
"457","ENSG00000026297","RNASET2","8635"
"458","ENSG00000026508","CD44","960"
"459","ENSG00000026559","KCNG1","3755"
"460","ENSG00000026652","AGPAT4","56895"
"461","ENSG00000026751","SLAMF7","57823"
"462","ENSG00000026950","BTN3A1","11119"
"463","ENSG00000027001","MIPEP","4285"
"464","ENSG00000027075","PRKCH","5583"
"465","ENSG00000027644","INSRR","3645"
"466","ENSG00000027697","IFNGR1","3459"
"467","ENSG00000027847","B4GALT7","11285"
"468","ENSG00000027869","SH2D2A","9047"
"469","ENSG00000028116","VRK2","7444"
"470","ENSG00000028137","TNFRSF1B","7133"
"471","ENSG00000028203","VEZT","55591"
"472","ENSG00000028277","POU2F2","5452"
"473","ENSG00000028310","BRD9","65980"
