Node1,Node2,Weight
E2F2,SPRY2,0.08140952
E2F2,STAG1,0.311565282
E2F2,STK35,0.386335261
E2F2,STOML2,-0.259891067
E2F2,SUV39H1,0.234172395
E2F2,SUZ12,-0.056301355
E2F2,TACC3,-0.004601739
E2F2,TCP1,0.668490642
E2F2,TMEM53,-0.276796666
E2F2,TMPO,-0.431149777
E2F2,TRMT12,-0.035501074
E2F2,TRMT6,0.400665708
E2F2,TSPAN7,-0.148319936
E2F2,TUFT1,0.24627096
E2F2,UBE2S,0.048316923
E2F2,UTRN,0.217050716
E2F2,WNT5A,-0.062757386
E2F2,WNT9A,0.089688922
E2F2,WRAP73,-0.341754089
E2F4,AGBL5,-0.153970523
E2F4,ANLN,-0.407919392
E2F4,AP1S1,-0.263112065
E2F4,ARHGAP11A,-0.425360545
E2F4,ARID1A,0.416182241
E2F4,ARL6IP6,-0.377878933
E2F4,AURKB,-0.248321967
E2F4,BARD1,-0.142782222
E2F4,BRCA1,-0.384541607
E2F4,BRD7,-0.508433304
E2F4,BROX,-0.000546756
E2F4,BUB3,-0.56880039
E2F4,CALM1,0.408384358
E2F4,CAMK2B,0.328188592
E2F4,CAPRIN1,-0.42196957
E2F4,CBX1,0.040412281
E2F4,CDC37L1,-0.489054422
E2F4,CENPE,-0.492084171
E2F4,CENPM,-0.490873822
E2F4,CKS1B,-0.32343686
E2F4,CKS2,-0.743439915
E2F4,CLK2,0.613194479
E2F4,CLTA,-0.187700003
E2F4,CNOT10,-0.410815137
E2F4,COPS6,0.11452231
E2F4,CSE1L,-0.093495945
E2F4,CTH,-0.509725649
E2F4,CTNNB1,-0.232639219
E2F4,DEK,-0.470266588
E2F4,DHX30,-0.526788665
E2F4,DHX9,-0.238687822
E2F4,DIRAS3,-0.163891528
E2F4,E2F2,0.258675554
E2F4,EIF4H,0.033207122
E2F4,F3,-0.01023801
E2F4,FARS2,-0.11773485
E2F4,FEN1,-0.111670645
E2F4,FUS,0.404251677
E2F4,FZD9,0.414340353
E2F4,G6PD,-0.380942413
E2F4,GJB2,0.235368583
E2F4,GON4L,0.336341186
E2F4,GPANK1,-0.34745826
E2F4,GPR158,-0.455568503
E2F4,HLTF,-0.028276968
E2F4,HMMR,-0.724548733
E2F4,ITGB3BP,-0.82999025
E2F4,KDM6A,0.191141122
E2F4,KHDRBS1,0.063214895
E2F4,KIAA1143,-0.082117782
E2F4,KIF4A,-0.449753469
E2F4,MAD2L1,-0.512433697
E2F4,MAPRE1,-0.138163831
E2F4,MCM10,-0.150304286
E2F4,MCM3,-0.211540511
E2F4,MCM5,-0.287622973
E2F4,MCM6,-0.543658525
E2F4,MCM7,-0.103840255
E2F4,METTL15,-0.010005239
E2F4,MKI67,-0.098492337
E2F4,MRPL49,-0.096491366
E2F4,MRTO4,-0.41794162
E2F4,MSH3,-0.248609974
E2F4,MSH6,0.126589426
E2F4,MYC,-0.291475542
E2F4,MZT1,-0.379991912
E2F4,N4BP2L1,-0.062247131
E2F4,NCBP2,-0.287710393
E2F4,NDC80,-0.600863502
E2F4,NEK2,-0.077327527
E2F4,NR2C2AP,0.15740942
E2F4,NSFL1C,0.15437559
E2F4,NUP153,-0.09279312
E2F4,NUP155,-0.264965707
E2F4,OTUD7B,0.520387631
E2F4,PABPC1,0.221298282
E2F4,PCLAF,-0.578566765
E2F4,PLK4,-0.556411683
E2F4,PLSCR4,0.308482246
E2F4,PRC1,-0.518662477
E2F4,PRRC2C,0.316266213
E2F4,PTGS2,-0.252053427
E2F4,PTMA,-0.256279769
E2F4,PXMP2,-0.24005759
E2F4,RABIF,0.473129571
E2F4,RBM22,-0.313783145
E2F4,RBM28,-0.536170632
E2F4,RFC3,-0.414751801
E2F4,RPL23A,-0.168024074
E2F4,RPL29,-0.559610232
E2F4,RPS4X,0.210221587
E2F4,RRM1,-0.30775157
E2F4,RUSC1,0.603015532
E2F4,SAP30L,0.25559954
E2F4,SDC1,0.481067
E2F4,SENP1,-0.235782486
E2F4,SETD2,-0.360650549
E2F4,SHB,0.523589923
E2F4,SLC16A2,0.388505129
E2F4,SLC39A14,-0.339763256
E2F4,SMAD2,-0.180416815
E2F4,SMAD3,0.12611463
E2F4,SMARCA4,0.266791639
E2F4,SMARCB1,-0.17675988
E2F4,SMC2,-0.618189159
E2F4,SORL1,0.089556416
E2F4,STAG1,0.147463534
E2F4,STAM,-0.288198465
E2F4,STK35,0.196910425
E2F4,STMN1,-0.444719619
E2F4,SUPT4H1,-0.461950217
E2F4,TBL2,0.572351673
E2F4,TCP1,0.079432781
E2F4,TERT,0.237386058
E2F4,TMPO,-0.127866201
E2F4,TOP2A,-0.426693911
E2F4,TOPBP1,-0.281854152
E2F4,TRMT6,0.223806406
E2F4,TSPAN7,0.117563326
E2F4,TTK,-0.145950354
E2F4,TUFT1,0.619524964
E2F4,XPO1,-0.173436993
E2F4,XRCC6,0.096052447
E2F5,AGBL5,0.155145431
E2F5,AP1S1,0.542403283
E2F5,APIP,-0.151877098
E2F5,ARHGAP11A,-0.564228963
E2F5,ARID1A,0.023689244
